ROAD_NO,ROAD_TYPE,ROAD_NAME,SECTION_START,SECTION_END,WIDTH,LENGTH,ANNOUNCE_DATE,DISTRICT,DEPARTMENT,ROAD_OWNER
48,ถนน,ถนนดินแดง,ถนนราชวิถี,ถนนวิภาวดีรังสิต,40.00,0.54,1999-09-13,พญาไท,สำนักการโยธา,กรุงเทพมหานคร
48,ถนน,ถนนดินแดง,ถนนวิภาวดีรังสิต,ถนนประชาสงเคราะห์,30.90-33.00,0.8,2004-07-12,ดินแดง,สำนักการโยธา,กรุงเทพมหานคร
49,ถนน,ถนนดินสอ,ถนนพระสุเมรุ,ถนนบำรุงเมือง,13.00,0.84,1984-01-25,พระนคร,สำนักการโยธา,กรุงเทพมหานคร
50,ถนน,ถนนเดโช,ถนนสุรวงศ์,ถนนสีลม,15.00-15.45,0.266,2010-02-03,บางรัก,สำนักการโยธา,กรุงเทพมหานคร
51,ถนน,ถนนตรีเพชร,ถนนจักรเพชร,ถนนพาหุรัด,27.50,0.435,1984-01-25,พระนคร,สำนักการโยธา,กรุงเทพมหานคร
51,ถนน,ถนนตรีเพชร,ถนนพาหุรัด,ถนนเจริญกรุง,20.50,0.215,1984-01-25,พระนคร,สำนักการโยธา,กรุงเทพมหานคร
52,ถนน,ถนนตรีมิตร,ถนนเยาวราช,ถนนทรงวาด,16.00,0.185,2010-01-14,สัมพันธวงศ์,สำนักการโยธา,กรุงเทพมหานคร
53,ถนน,ถนนตะนาว,ถนนบำรุงเมือง,ถนนบวรนิเวศน์,13.00,0.92,1984-01-25,พระนคร,สำนักการโยธา,กรุงเทพมหานคร
54,ถนน,ถนนตานี,ถนนจักรพงษ์,ถนนสิบสามห้าง,14.00,0.215,1984-01-25,พระนคร,สำนักการโยธา,กรุงเทพมหานคร
55,ถนน,ถนนตีทอง,ถนนบำรุงเมือง,ถนนเจริญกรุง,18.45,0.505,1999-06-18,พระนคร,สำนักการโยธา,กรุงเทพมหานคร
56,ถนน,ถนนเตชะวณิช,ถนนประดิพัทธ์,คลองบางซื่อ,25.00,0.77,1999-07-02,ดุสิต,สำนักการโยธา,กรุงเทพมหานคร
56,ถนน,ถนนเตชะวณิช,สะพานสูงบางซื่อ,คลองบางซื่อ,20.00-25.00,0.8,2004-07-12,บางซื่อ,สำนักการโยธา,กรุงเทพมหานคร
57,ถนน,ถนนทรงวาด,ถนนราชวงศ์,ถนนเจริญกรุง,14.50-20.00,1.016,2004-07-12,สัมพันธวงศ์,สำนักการโยธา,กรุงเทพมหานคร
58,ถนน,ถนนทรงสวัสดิ์,ถนนเจริญกรุง,ท่าน้ำสวัสดี,10.30-13.00,0.52,2004-07-12,สัมพันธวงศ์,สำนักการโยธา,กรุงเทพมหานคร
59,ถนน,ถนนทรัพย์,ถนนสี่พระยา,ถนนสุรวงค์,12.00,0.375,2010-07-30,บางรัก,สำนักการโยธา,กรุงเทพมหานคร
60,ถนน,ถนนทวีวัฒนา,ถนนเพชรเกษม,คลองบางไผ่,20.00,3.6,2002-12-23,หนองแขม,สำนักการโยธา,กรุงเทพมหานคร
61,ถนน,ถนนทวีวัฒนา-กาญจนาภิเษก,ถนนกาญจนาภิเษก,ถนนพุทธมณฑลสาย 2,16.00,1.2,2004-12-03,ทวีวัฒนา,สำนักการโยธา,กรุงเทพมหานคร
61,ถนน,ถนนทวีวัฒนา-กาญจนาภิเษก,ถนนพุทธมณฑลสาย 2,คลองทวีวัฒนา,16.00,6.19,2011-10-13,ทวีวัฒนา,สำนักการโยธา,กรุงเทพมหานคร
61,ถนน,ถนนทวีวัฒนา-กาญจนาภิเษก,ถนนทวีวัฒนา,สุดเขตพื้นที่ (กรุงเทพมหานคร),16.00,1.82,2011-10-13,ทวีวัฒนา,สำนักการโยธา,กรุงเทพมหานคร
62,ถนน,ถนนทหาร,ถนนพระรามที่ 5,ถนนสามเสน,20.00,1.06,1984-01-25,ดุสิต,สำนักการโยธา,กรุงเทพมหานคร
62,ถนน,ถนนทหาร,ถนนสามเสน,แม่น้ำเจ้าพระยา,20.00,0.47,1984-01-25,ดุสิต,สำนักการโยธา,กรุงเทพมหานคร
63,ถนน,ถนนทับยาว,ถนนเลียบคลองมอญ,คลองลำพะอง (สุดพื้นที่เขต),30.00,4.015,2006-01-13,ลาดกระบัง,สำนักการโยธา,กรุงเทพมหานคร
64,ถนน,ถนนท่าข้าม,ถนนพระรามที่ 2 (ถนนธนบุรี-ปากท่อ),สถานีตำรวจท่าข้าม,30.00,2.95,1985-07-04,บางขุนเทียน,สำนักการโยธา,กรุงเทพมหานคร
65,ถนน,ถนนทางรถไฟสายปากน้ำเก่า,ถนนพระรามที่ 4,คลองบางจาก,10.00-14.80,4.849,1994-02-22,คลองเตย,สำนักการโยธา,กรุงเทพมหานคร
65,ถนน,ถนนทางรถไฟสายปากน้ำเก่า,คลองพระโขนง,คลองบางจาก,14.80,1.747,1994-02-22,พระโขนง,สำนักการโยธา,กรุงเทพมหานคร
65,ถนน,ถนนทางรถไฟสายปากน้ำเก่า,คลองบางอ้อ,สุดเขตกรุงเทพมหานคร,7.00-17.00,2.1,2000-10-12,บางนา,สำนักการโยธา,กรุงเทพมหานคร
66,ถนน,ถนนท่าดินแดง,ถนนลาดหญ้า,ท่าน้ำท่าดินแดง,23.30,0.9,1985-08-23,คลองสาน,สำนักการโยธา,กรุงเทพมหานคร
67,ถนน,ถนนท้ายวัง,ถนนสนามไชย,แม่น้ำเจ้าพระยา,17.00,0.45,1983-10-11,พระนคร,สำนักการโยธา,กรุงเทพมหานคร
68,ถนน,ถนนทุ่งมังกร,ถนนปิ่นเกล้า-นครชัยศรี (ถนนบรมราชชนนี),ถนนสวนผัก,14.00,0.86,1986-04-10,ตลิ่งชัน,สำนักการโยธา,กรุงเทพมหานคร
69,ถนน,ถนนเทพรักษ์,ถนนพหลโยธิน,คลองลำผักชี,34.45-75.10,0.385,2024-03-04,บางเขน,สำนักการโยธา,กรุงเทพมหานคร
69,ถนน,ถนนเทพรักษ์,คลองลำผักชี,คลองลำผักชี (ซอยเทพรักษ์ 42),40.00-50.00,1.7,2024-03-04,สายไหม,สำนักการโยธา,กรุงเทพมหานคร
69,ถนน,ถนนเทพรักษ์,คลองลำผักชี (ซอยเทพรักษ์ 42),จุดสิ้นสุดโครงการถนนเทพรักษ์,35.05-60.00,3.12,2024-03-04,บางเขน,สำนักการโยธา,กรุงเทพมหานคร
70,ถนน,ถนนเทศบาลสงเคราะห์ (ถนนประชานิเวศน์ 1),ถนนวิภาวดีรังสิต,คลองประปา,24.00,1.687,1994-03-22,จตุจักร,สำนักการโยธา,กรุงเทพมหานคร
71,ถนน,ถนนเทอดไท,ถนนอินทรพิทักษ์,คลองภาษีเจริญ,14.00,2.76,1984-08-20,ธนบุรี,สำนักการโยธา,กรุงเทพมหานคร
71,ถนน,ถนนเทอดไท,คลองด่าน,สุดพื้นที่เขต (คลองราชมนตรี),8.20-15.00,5.25,2011-01-19,ภาษีเจริญ,สำนักการโยธา,กรุงเทพมหานคร
71,ถนน,ถนนเทอดไท,ถนนสุขาภิบาล 1,บ้านเลขที่ 75 ม.6 (คลองราชมนตรี),12.00,2.65,1986-09-29,บางแค,สำนักการโยธา,กรุงเทพมหานคร
71,ถนน,ถนนเทอดไท,ถนนสุขาภิบาล 1,ถนนเทอดไท,9.00-12.00,6.07,1986-09-29,ภาษีเจริญ,สำนักการโยธา,กรุงเทพมหานคร
72,ถนน,ถนนนครไชยศรี,แม่น้ำเจ้าพระยา,ถนนสามเสน,17.00,0.4,1983-10-11,ดุสิต,สำนักการโยธา,กรุงเทพมหานคร
72,ถนน,ถนนนครไชยศรี,ถนนสามเสน,ถนนพระรามที่ 6,20.00,2.785,1983-10-11,"ดุสิต,พญาไท",สำนักการโยธา,กรุงเทพมหานคร
73,ถนน,ถนนนครปฐม,ถนนลูกหลวง,ถนนศรีอยุธยา,23.00,0.668,1983-10-11,ดุสิต,สำนักการโยธา,กรุงเทพมหานคร
74,ถนน,ถนนนครราชสีมา,ถนนลูกหลวง,ถนนนครไชยศรี,17.00,0.834,1983-10-11,ดุสิต,สำนักการโยธา,กรุงเทพมหานคร
75,ถนน,ถนนนครสวรรค์,สะพานผ่านฟ้าลีลาศ,ถนนจักรพรรดิพงษ์,21.00,0.44,1984-01-25,ป้อมปราบศัตรูพ่าย,สำนักการโยธา,กรุงเทพมหานคร
75,ถนน,ถนนนครสวรรค์,ถนนจักรพรรดิพงษ์,สะพานเทวกรรมรังรักษ์,21.00,0.4,1984-01-25,ป้อมปราบศัตรูพ่าย,สำนักการโยธา,กรุงเทพมหานคร
75,ถนน,ถนนนครสวรรค์,สะพานเทวกรรมรังรักษ์,พิษณุโลก,27.50,0.27,1984-01-25,ดุสิต,สำนักการโยธา,กรุงเทพมหานคร
76,ถนน,ถนนนนทรี,ถนนรัชดาภิเษก,สะพานข้ามคลองภูมิ (ถนนพระรามที่ 3),25.80,2.78,1999-09-13,ยานนาวา,สำนักการโยธา,กรุงเทพมหานคร
77,ถนน,ถนนนราธิวาสราชนครินทร์,ถนนสุรวงค์,ถนนสาทร,60.00,0.836,1996-09-13,บางรัก,สำนักการโยธา,กรุงเทพมหานคร
77,ถนน,ถนนนราธิวาสราชนครินทร์,ถนนสาทร,ถนนจันทน์ตัดใหม่,60.00,1.794,1996-09-13,สาทร,สำนักการโยธา,กรุงเทพมหานคร
77,ถนน,ถนนนราธิวาสราชนครินทร์,ถนนจันทน์ตัดใหม่,ถนนพระรามที่ 3,60.00,1.62,1996-09-13,ยานนาวา,สำนักการโยธา,กรุงเทพมหานคร
